Bonus,CARS,TRACKS,CHAMPS,ALLPRD,NODENT,EASYCAR
0000,BAAAAB,FACCAF,HSBBSH,WOYYOW,VFCCFV,YUPPUY
0001,FACAAB,BAACAF,WOYBSH,HSBYOW,YUPCFV,VFCPUY
0002,ZEUAAB,ZNZCAF,YUPBSH,VFCYOW,WOYCFV,HSBPUY
0003,ZNZAAB,ZEUCAF,VFCBSH,YUPYOW,HSBCFV,WOYPUY
0004,HSBAAB,WOYCAF,BAABSH,FACYOW,ZNZCFV,ZEUPUY
0005,WOYAAB,HSBCAF,FACBSH,BAAYOW,ZEUCFV,ZNZPUY
0006,YUPAAB,VFCCAF,ZEUBSH,ZNZYOW,FACCFV,BAAPUY
0007,VFCAAB,YUPCAF,ZNZBSH,ZEUYOW,BAACFV,FACPUY
0008,IFFAAB,VKRCAF,YOOBSH,FYWYOW,FGZCFV,FMXPUY
0009,VKRAAB,IFFCAF,FYWBSH,YOOYOW,FMXCFV,FGZPUY
0010,SLDAAB,GLFCAF,FMXBSH,FGZYOW,FYWCFV,YOOPUY
0011,GLFAAB,SLDCAF,FGZBSH,FMXYOW,YOOCFV,FYWPUY
0012,YOOAAB,FYWCAF,IFFBSH,VKRYOW,GLFCFV,SLDPUY
0013,FYWAAB,YOOCAF,VKRBSH,IFFYOW,SLDCFV,GLFPUY
0014,FMXAAB,FGZCAF,SLDBSH,GLFYOW,VKRCFV,IFFPUY
0015,FGZAAB,FMXCAF,GLFBSH,SLDYOW,IFFCFV,VKRPUY
0016,SHHAAB,FZYCAF,YHYBSH,PLSYOW,JCXCFV,URVPUY
0017,FZYAAB,SHHCAF,PLSBSH,YHYYOW,URVCFV,JCXPUY
0018,LWHAAB,RWMCAF,URVBSH,JCXYOW,PLSCFV,YHYPUY
0019,RWMAAB,LWHCAF,JCXBSH,URVYOW,YHYCFV,PLSPUY
0020,YHYAAB,PLSCAF,SHHBSH,FZYYOW,RWMCFV,LWHPUY
0021,PLSAAB,YHYCAF,FZYBSH,SHHYOW,LWHCFV,RWMPUY
0022,URVAAB,JCXCAF,LWHBSH,RWMYOW,FZYCFV,SHHPUY
0023,JCXAAB,URVCAF,RWMBSH,LWHYOW,SHHCFV,FZYPUY
0024,LJFAAB,LEZCAF,RBBBSH,NIQYOW,AERCFV,PYGPUY
0025,LEZAAB,LJFCAF,NIQBSH,RBBYOW,PYGCFV,AERPUY
0026,HXUAAB,JDRCAF,PYGBSH,AERYOW,NIQCFV,RBBPUY
0027,JDRAAB,HXUCAF,AERBSH,PYGYOW,RBBCFV,NIQPUY
0028,RBBAAB,NIQCAF,LJFBSH,LEZYOW,JDRCFV,HXUPUY
0029,NIQAAB,RBBCAF,LEZBSH,LJFYOW,HXUCFV,JDRPUY
0030,PYGAAB,AERCAF,HXUBSH,JDRYOW,LEZCFV,LJFPUY
0031,AERAAB,PYGCAF,JDRBSH,HXUYOW,LJFCFV,LEZPUY
0032,EFIAAB,BQYCAF,TYKBSH,UNTYOW,PVACFV,IEMPUY
0033,BQYAAB,EFICAF,UNTBSH,TYKYOW,IEMCFV,PVAPUY
0034,MCWAAB,AHHCAF,IEMBSH,PVAYOW,UNTCFV,TYKPUY
0035,AHHAAB,MCWCAF,PVABSH,IEMYOW,TYKCFV,UNTPUY
0036,TYKAAB,UNTCAF,EFIBSH,BQYYOW,AHHCFV,MCWPUY
0037,UNTAAB,TYKCAF,BQYBSH,EFIYOW,MCWCFV,AHHPUY
0038,IEMAAB,PVACAF,MCWBSH,AHHYOW,BQYCFV,EFIPUY
0039,PVAAAB,IEMCAF,AHHBSH,MCWYOW,EFICFV,BQYPUY
0040,FCMAAB,OKTCAF,ZUPBSH,AFFYOW,UYRCFV,HKAPUY
0041,OKTAAB,FCMCAF,AFFBSH,ZUPYOW,HKACFV,UYRPUY
0042,JOYAAB,LTNCAF,HKABSH,UYRYOW,AFFCFV,ZUPPUY
0043,LTNAAB,JOYCAF,UYRBSH,HKAYOW,ZUPCFV,AFFPUY
0044,ZUPAAB,AFFCAF,FCMBSH,OKTYOW,LTNCFV,JOYPUY
0045,AFFAAB,ZUPCAF,OKTBSH,FCMYOW,JOYCFV,LTNPUY
0046,HKAAAB,UYRCAF,JOYBSH,LTNYOW,OKTCFV,FCMPUY
0047,UYRAAB,HKACAF,LTNBSH,JOYYOW,FCMCFV,OKTPUY
0048,CDFAAB,FAECAF,NSCBSH,ARRYOW,OLDCFV,KSLPUY
0049,FAEAAB,CDFCAF,ARRBSH,NSCYOW,KSLCFV,OLDPUY
0050,ZJEAAB,DDZCAF,KSLBSH,OLDYOW,ARRCFV,NSCPUY
0051,DDZAAB,ZJECAF,OLDBSH,KSLYOW,NSCCFV,ARRPUY
