Code,CHAMPS,XCHAMPS,BOOST,FWDRIVE,NODENT,THEEND
0000,NTBXEFCL,QHKNALXM,OYQNSWXR,CJFOFRZW,MEGJCTFI,XMYGROWR
0001,QHKNEFCL,NTBXALXM,CJFOSWXR,OYQNFRZW,XMYGCTFI,MEGJROWR
0002,OYQNEFCL,CJFOALXM,NTBXSWXR,QHKNFRZW,INEPCTFI,TTYJROWR
0003,CJFOEFCL,OYQNALXM,QHKNSWXR,NTBXFRZW,TTYJCTFI,INEPROWR
0004,MEGJEFCL,XMYGALXM,INEPSWXR,TTYJFRZW,NTBXCTFI,QHKNROWR
0005,XMYGEFCL,MEGJALXM,TTYJSWXR,INEPFRZW,QHKNCTFI,NTBXROWR
0006,INEPEFCL,TTYJALXM,MEGJSWXR,XMYGFRZW,OYQNCTFI,CJFOROWR
0007,TTYJEFCL,INEPALXM,XMYGSWXR,MEGJFRZW,CJFOCTFI,OYQNROWR
0008,PHEXEFCL,LKZCALXM,NVWFSWXR,VNIYFRZW,AIINCTFI,SVXVROWR
0009,LKZCEFCL,PHEXALXM,VNIYSWXR,NVWFFRZW,SVXVCTFI,AIINROWR
0010,NVWFEFCL,VNIYALXM,PHEXSWXR,LKZCFRZW,YFUHCTFI,HMYUROWR
0011,VNIYEFCL,NVWFALXM,LKZCSWXR,PHEXFRZW,HMYUCTFI,YFUHROWR
0012,AIINEFCL,SVXVALXM,YFUHSWXR,HMYUFRZW,PHEXCTFI,LKZCROWR
0013,SVXVEFCL,AIINALXM,HMYUSWXR,YFUHFRZW,LKZCCTFI,PHEXROWR
0014,YFUHEFCL,HMYUALXM,AIINSWXR,SVXVFRZW,NVWFCTFI,VNIYROWR
0015,HMYUEFCL,YFUHALXM,SVXVSWXR,AIINFRZW,VNIYCTFI,NVWFROWR
0016,CPWIEFCL,KLTWALXM,XJZLSWXR,PONJFRZW,XMGCCTFI,LRBYROWR
0017,KLTWEFCL,CPWIALXM,PONJSWXR,XJZLFRZW,LRBYCTFI,XMGCROWR
0018,XJZLEFCL,PONJALXM,CPWISWXR,KLTWFRZW,OQVXCTFI,JWHNROWR
0019,PONJEFCL,XJZLALXM,KLTWSWXR,CPWIFRZW,JWHNCTFI,OQVXROWR
0020,XMGCEFCL,LRBYALXM,OQVXSWXR,JWHNFRZW,CPWICTFI,KLTWROWR
0021,LRBYEFCL,XMGCALXM,JWHNSWXR,OQVXFRZW,KLTWCTFI,CPWIROWR
0022,OQVXEFCL,JWHNALXM,XMGCSWXR,LRBYFRZW,XJZLCTFI,PONJROWR
0023,JWHNEFCL,OQVXALXM,LRBYSWXR,XMGCFRZW,PONJCTFI,XJZLROWR
0024,FICWEFCL,IICVALXM,BIECSWXR,CNXJFRZW,CEUTCTFI,SULUROWR
0025,IICVEFCL,FICWALXM,CNXJSWXR,BIECFRZW,SULUCTFI,CEUTROWR
0026,BIECEFCL,CNXJALXM,FICWSWXR,IICVFRZW,BOCOCTFI,VXLAROWR
0027,CNXJEFCL,BIECALXM,IICVSWXR,FICWFRZW,VXLACTFI,BOCOROWR
0028,CEUTEFCL,SULUALXM,BOCOSWXR,VXLAFRZW,FICWCTFI,IICVROWR
0029,SULUEFCL,CEUTALXM,VXLASWXR,BOCOFRZW,IICVCTFI,FICWROWR
0030,BOCOEFCL,VXLAALXM,CEUTSWXR,SULUFRZW,BIECCTFI,CNXJROWR
0031,VXLAEFCL,BOCOALXM,SULUSWXR,CEUTFRZW,CNXJCTFI,BIECROWR
0032,MVVFEFCL,DVAXALXM,DYDUSWXR,QJVRFRZW,EABOCTFI,CVAKROWR
0033,DVAXEFCL,MVVFALXM,QJVRSWXR,DYDUFRZW,CVAKCTFI,EABOROWR
0034,DYDUEFCL,QJVRALXM,MVVFSWXR,DVAXFRZW,DGAACTFI,LPBMROWR
0035,QJVREFCL,DYDUALXM,DVAXSWXR,MVVFFRZW,LPBMCTFI,DGAAROWR
0036,EABOEFCL,CVAKALXM,DGAASWXR,LPBMFRZW,MVVFCTFI,DVAXROWR
0037,CVAKEFCL,EABOALXM,LPBMSWXR,DGAAFRZW,DVAXCTFI,MVVFROWR
0038,DGAAEFCL,LPBMALXM,EABOSWXR,CVAKFRZW,DYDUCTFI,QJVRROWR
0039,LPBMEFCL,DGAAALXM,CVAKSWXR,EABOFRZW,QJVRCTFI,DYDUROWR
0040,RBICEFCL,QKECALXM,RSKISWXR,QFYCFRZW,OBEWCTFI,GLLNROWR
0041,QKECEFCL,RBICALXM,QFYCSWXR,RSKIFRZW,GLLNCTFI,OBEWROWR
