Code	CHAMPS	XCHAMPS	BOOST	FWDRIVE	NODENT	THEEND
0000	VJMEJGTK	NYSGIVLI	HZOLTTMG	FRKBFQWV	OYKAYXVK	NYLLUETA
0001	NYSGJGTK	VJMEIVLI	FRKBTTMG	HZOLFQWV	NYLLYXVK	OYKAUETA
0002	HZOLJGTK	FRKBIVLI	VJMETTMG	NYSGFQWV	VRWZYXVK	KTQMUETA
0003	FRKBJGTK	HZOLIVLI	NYSGTTMG	VJMEFQWV	KTQMYXVK	VRWZUETA
0004	OYKAJGTK	NYLLIVLI	VRWZTTMG	KTQMFQWV	VJMEYXVK	NYSGUETA
0005	NYLLJGTK	OYKAIVLI	KTQMTTMG	VRWZFQWV	NYSGYXVK	VJMEUETA
0006	VRWZJGTK	KTQMIVLI	OYKATTMG	NYLLFQWV	HZOLYXVK	FRKBUETA
0007	KTQMJGTK	VRWZIVLI	NYLLTTMG	OYKAFQWV	FRKBYXVK	HZOLUETA
0008	PGREJGTK	PHJTIVLI	EQSFTTMG	ZRMOFQWV	CIGRYXVK	KVHJUETA
0009	PHJTJGTK	PGREIVLI	ZRMOTTMG	EQSFFQWV	KVHJYXVK	CIGRUETA
0010	EQSFJGTK	ZRMOIVLI	PGRETTMG	PHJTFQWV	EOKJYXVK	KCLNUETA
0011	ZRMOJGTK	EQSFIVLI	PHJTTTMG	PGREFQWV	KCLNYXVK	EOKJUETA
0012	CIGRJGTK	KVHJIVLI	EOKJTTMG	KCLNFQWV	PGREYXVK	PHJTUETA
0013	KVHJJGTK	CIGRIVLI	KCLNTTMG	EOKJFQWV	PHJTYXVK	PGREUETA
0014	EOKJJGTK	KCLNIVLI	CIGRTTMG	KVHJFQWV	EQSFYXVK	ZRMOUETA
0015	KCLNJGTK	EOKJIVLI	KVHJTTMG	CIGRFQWV	ZRMOYXVK	EQSFUETA
0016	NULPJGTK	ZRIGIVLI	TSCNTTMG	UDFCFQWV	ZFKCYXVK	EBMIUETA
0017	ZRIGJGTK	NULPIVLI	UDFCTTMG	TSCNFQWV	EBMIYXVK	ZFKCUETA
0018	TSCNJGTK	UDFCIVLI	NULPTTMG	ZRIGFQWV	XGAAYXVK	BAAAUETA
0019	UDFCJGTK	TSCNIVLI	ZRIGTTMG	NULPFQWV	BAAAYXVK	XGAAUETA
0020	ZFKCJGTK	EBMIIVLI	XGAATTMG	BAAAFQWV	NULPYXVK	ZRIGUETA
0021	EBMIJGTK	ZFKCIVLI	BAAATTMG	XGAAFQWV	ZRIGYXVK	NULPUETA
0022	XGAAJGTK	BAAAIVLI	ZFKCTTMG	EBMIFQWV	TSCNYXVK	UDFCUETA
0023	BAAAJGTK	XGAAIVLI	EBMITTMG	ZFKCFQWV	UDFCYXVK	TSCNUETA
0024	LLNWJGTK	DBXLIVLI	REGOTTMG	NYOOFQWV	PDICYXVK	URPPUETA
0025	DBXLJGTK	LLNWIVLI	NYOOTTMG	REGOFQWV	URPPYXVK	PDICUETA
0026	REGOJGTK	NYOOIVLI	LLNWTTMG	DBXLFQWV	GFNPYXVK	WVUMUETA
0027	NYOOJGTK	REGOIVLI	DBXLTTMG	LLNWFQWV	WVUMYXVK	GFNPUETA
0028	PDICJGTK	URPPIVLI	GFNPTTMG	WVUMFQWV	LLNWYXVK	DBXLUETA
0029	URPPJGTK	PDICIVLI	WVUMTTMG	GFNPFQWV	DBXLYXVK	LLNWUETA
0030	GFNPJGTK	WVUMIVLI	PDICTTMG	URPPFQWV	REGOYXVK	NYOOUETA
0031	WVUMJGTK	GFNPIVLI	URPPTTMG	PDICFQWV	NYOOYXVK	REGOUETA
0032	DEPEJGTK	LBHXIVLI	GXZCTTMG	LRCHFQWV	HRALYXVK	GMYZUETA
0033	LBHXJGTK	DEPEIVLI	LRCHTTMG	GXZCFQWV	GMYZYXVK	HRALUETA
0034	GXZCJGTK	LRCHIVLI	DEPETTMG	LBHXFQWV	RQPJYXVK	ILKGUETA
0035	LRCHJGTK	GXZCIVLI	LBHXTTMG	DEPEFQWV	ILKGYXVK	RQPJUETA
0036	HRALJGTK	GMYZIVLI	RQPJTTMG	ILKGFQWV	DEPEYXVK	LBHXUETA
0037	GMYZJGTK	HRALIVLI	ILKGTTMG	RQPJFQWV	LBHXYXVK	DEPEUETA
0038	RQPJJGTK	ILKGIVLI	HRALTTMG	GMYZFQWV	GXZCYXVK	LRCHUETA
0039	ILKGJGTK	RQPJIVLI	GMYZTTMG	HRALFQWV	LRCHYXVK	GXZCUETA
0040	VJCJJGTK	RMTZIVLI	GSFJTTMG	LKHKFQWV	DGTCYXVK	WHTAUETA
0041	RMTZJGTK	VJCJIVLI	LKHKTTMG	GSFJFQWV	WHTAYXVK	DGTCUETA
0042	GSFJJGTK	LKHKIVLI	VJCJTTMG	RMTZFQWV	LSFZYXVK	AWFNUETA
0043	LKHKJGTK	GSFJIVLI	RMTZTTMG	VJCJFQWV	AWFNYXVK	LSFZUETA
0044	DGTCJGTK	WHTAIVLI	LSFZTTMG	AWFNFQWV	VJCJYXVK	RMTZUETA
0045	WHTAJGTK	DGTCIVLI	AWFNTTMG	LSFZFQWV	RMTZYXVK	VJCJUETA
0046	LSFZJGTK	AWFNIVLI	DGTCTTMG	WHTAFQWV	GSFJYXVK	LKHKUETA
0047	AWFNJGTK	LSFZIVLI	WHTATTMG	DGTCFQWV	LKHKYXVK	GSFJUETA
0048	PZGXJGTK	VUODIVLI	WHWLTTMG	SNCMFQWV	VQVNYXVK	BFQVUETA
0049	VUODJGTK	PZGXIVLI	SNCMTTMG	WHWLFQWV	BFQVYXVK	VQVNUETA
0050	WHWLJGTK	SNCMIVLI	PZGXTTMG	VUODFQWV	UVIOYXVK	XCGBUETA
0051	SNCMJGTK	WHWLIVLI	VUODTTMG	PZGXFQWV	XCGBYXVK	UVIOUETA
0052	VQVNJGTK	BFQVIVLI	UVIOTTMG	XCGBFQWV	PZGXYXVK	VUODUETA
0053	BFQVJGTK	VQVNIVLI	XCGBTTMG	UVIOFQWV	VUODYXVK	PZGXUETA
0054	UVIOJGTK	XCGBIVLI	VQVNTTMG	BFQVFQWV	WHWLYXVK	SNCMUETA
0055	XCGBJGTK	UVIOIVLI	BFQVTTMG	VQVNFQWV	SNCMYXVK	WHWLUETA
0056	YHXQJGTK	SOARIVLI	ZBFKTTMG	LLAPFQWV	ZJZGYXVK	LGVOUETA
0057	SOARJGTK	YHXQIVLI	LLAPTTMG	ZBFKFQWV	LGVOYXVK	ZJZGUETA
0058	ZBFKJGTK	LLAPIVLI	YHXQTTMG	SOARFQWV	LZDNYXVK	SQHVUETA
0059	LLAPJGTK	ZBFKIVLI	SOARTTMG	YHXQFQWV	SQHVYXVK	LZDNUETA
0060	ZJZGJGTK	LGVOIVLI	LZDNTTMG	SQHVFQWV	YHXQYXVK	SOARUETA
0061	LGVOJGTK	ZJZGIVLI	SQHVTTMG	LZDNFQWV	SOARYXVK	YHXQUETA
0062	LZDNJGTK	SQHVIVLI	ZJZGTTMG	LGVOFQWV	ZBFKYXVK	LLAPUETA
0063	SQHVJGTK	LZDNIVLI	LGVOTTMG	ZJZGFQWV	LLAPYXVK	ZBFKUETA
0064	AMYKJGTK	KRCQIVLI	TNXETTMG	CJYXFQWV	VTFLYXVK	OTNUUETA
0065	KRCQJGTK	AMYKIVLI	CJYXTTMG	TNXEFQWV	OTNUYXVK	VTFLUETA
